,Movie,Distributor,Genre,MPAA,Book_Based,Production_Budget,Worldwide_Gross,Release Year,award_winning,Genre_Number
616,Red Dawn,Open Road,Action,PG-13,0,"$65,000,000","$48,164,150",2012,0,1
617,Only God Forgives,Radius,Thriller/Suspense,R,0,"$4,800,000","$4,494,560",2013,0,6
618,Parkland,Exclusive Releasing,Drama,PG-13,0,"$10,000,000","$1,616,353",2013,1,5
619,Taken 2,20th Century Fox,Thriller/Suspense,PG-13,0,"$45,000,000","$377,807,404",2012,0,6
620,The Lost Medallion: The Adventures of Billy Stone,Freestyle Releasing,Adventure,PG,0,"$2,500,000","$549,632",2013,0,4
621,The Reluctant Fundamentalist,IFC Films,Drama,R,0,"$15,000,000","$528,731",2013,0,5
622,Ain't Them Bodies Saints,IFC Films,Drama,R,0,"$5,000,000","$1,075,009",2013,0,5
623,Frankenweenie,Walt Disney,Adventure,PG,0,"$39,000,000","$81,150,788",2012,1,4
624,The Master,Weinstein Co.,Drama,R,0,"$37,500,000","$50,647,416",2012,1,5
625,The Perks of Being a Wallflower,Lionsgate,Drama,R,0,"$13,000,000","$33,069,303",2012,0,5
626,ABCD (Any Body Can Dance),UTV Communications,Musical,Not Rated,0,"$1,900,000","$10,137,234",2013,0,3
627,Cloud Atlas,Warner Bros.,Drama,R,0,"$102,000,000","$130,673,154",2012,1,5
628,Ice Age: Continental Drift,20th Century Fox,Adventure,PG,0,"$95,000,000","$879,765,137",2012,0,4
629,End of Watch,Open Road,Thriller/Suspense,R,0,"$15,000,000","$57,586,606",2012,0,6
630,Holy Motors,Indomina Releasing,Drama,Not Rated,0,"$4,000,000","$4,230,426",2012,0,5
631,Killing Them Softly,Weinstein Co.,Thriller/Suspense,R,0,"$15,000,000","$39,238,443",2012,0,6
632,Redemption,Roadside Attractions,Thriller/Suspense,R,0,"$23,000,000","$13,593,473",2013,0,6
633,Underdogs,Freestyle Releasing,Drama,PG,0,"$2,500,000","$1,392,649",2013,0,5
634,Chasing Mavericks,20th Century Fox,Drama,PG,0,"$20,000,000","$8,300,821",2012,0,5
635,Finding Nemo,Walt Disney,Adventure,G,0,"$94,000,000","$936,429,370",2003,1,4
636,The Odd Life of Timothy Green,Walt Disney,Drama,PG,0,"$40,000,000","$55,249,159",2012,1,5
637,Brave,Walt Disney,Adventure,PG,0,"$185,000,000","$554,606,532",2012,1,4
638,Arbitrage,Roadside Attractions,Thriller/Suspense,R,0,"$12,000,000","$35,830,713",2012,1,6
639,Plush,IM Global/Blumhouse,Thriller/Suspense,R,0,"$2,000,000","$28,864",2013,0,6
640,Deadfall,Magnolia Pictures,Thriller/Suspense,Not Rated,0,"$6,000,000","$1,673,635",2012,1,6
641,The Avengers,Walt Disney,Action,PG-13,0,"$225,000,000","$1,517,935,897",2012,1,1
642,The Dark Knight Rises,Warner Bros.,Action,PG-13,0,"$275,000,000","$1,084,439,099",2012,1,1
643,The Hunger Games,Lionsgate,Thriller/Suspense,PG-13,1,"$80,000,000","$677,923,379",2012,0,6
644,The Amazing Spider-Man,Sony Pictures,Adventure,PG-13,0,"$220,000,000","$757,890,267",2012,1,4
645,Ted,Universal,Adventure,R,0,"$50,000,000","$556,016,627",2012,0,4
646,Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,PG,0,"$145,000,000","$746,921,271",2012,1,4
647,Men in Black 3,Sony Pictures,Adventure,PG-13,0,"$215,000,000","$654,213,485",2012,1,4
648,Snow White and the Huntsman,Universal,Adventure,PG-13,0,"$170,000,000","$401,021,746",2012,1,4
649,21 Jump Street,Sony Pictures,Comedy,R,0,"$42,000,000","$202,812,429",2012,0,0
650,Prometheus,20th Century Fox,Adventure,R,0,"$125,000,000","$402,448,265",2012,1,4
651,The Vow,Sony Pictures,Drama,PG-13,0,"$30,000,000","$197,618,160",2012,1,5
652,Magic Mike,Warner Bros.,Comedy,R,0,"$7,000,000","$170,549,753",2012,0,0
653,The Bourne Legacy,Universal,Thriller/Suspense,PG-13,1,"$125,000,000","$280,355,920",2012,1,6
654,Journey 2: The Mysterious Island,Warner Bros.,Adventure,PG,1,"$79,000,000","$318,146,162",2012,1,4
655,Think Like a Man,Sony Pictures,Romantic Comedy,PG-13,0,"$12,000,000","$113,373,764",2012,0,8
656,The Campaign,Warner Bros.,Comedy,R,0,"$95,000,000","$104,907,746",2012,0,0
657,The Expendables 2,Lionsgate,Action,R,0,"$100,000,000","$311,979,256",2012,0,1
658,Dark Shadows,Warner Bros.,Black Comedy,PG-13,0,"$150,000,000","$238,202,668",2012,0,9
659,Act of Valor,Relativity,Action,R,0,"$12,000,000","$82,497,035",2012,0,1
660,Contraband,Universal,Action,R,0,"$25,000,000","$98,406,855",2012,0,1
661,Looper,Sony Pictures,Action,R,0,"$30,000,000","$170,466,405",2012,0,1
662,Battleship,Universal,Action,PG-13,0,"$220,000,000","$313,477,717",2012,0,1
663,Mirror Mirror,Relativity,Adventure,PG,0,"$85,000,000","$173,613,482",2012,1,4
664,Chronicle,20th Century Fox,Thriller/Suspense,PG-13,0,"$12,000,000","$123,681,790",2012,0,6
665,Hope Springs,Sony Pictures,Romantic Comedy,PG-13,0,"$30,000,000","$133,085,295",2012,1,8
666,Underworld: Awakening,Sony Pictures,Action,R,0,"$70,000,000","$160,379,930",2012,0,1
667,The Lucky One,Warner Bros.,Drama,PG-13,1,"$25,000,000","$96,633,833",2012,0,5
668,The Dictator,Paramount Pictures,Comedy,R,0,"$65,000,000","$180,148,897",2012,1,0
669,Total Recall,Sony Pictures,Action,PG-13,0,"$125,000,000","$211,856,088",2012,0,1
670,American Reunion,Universal,Comedy,R,0,"$50,000,000","$236,799,211",2012,0,0
671,ParaNorman,Focus Features,Adventure,PG,0,"$60,000,000","$108,119,662",2012,0,4
672,This Means War,20th Century Fox,Romantic Comedy,PG-13,0,"$65,000,000","$156,974,557",2012,1,8
673,Project X,Warner Bros.,Comedy,R,0,"$12,000,000","$103,028,188",2012,0,0
674,The Woman in Black,CBS Films,Thriller/Suspense,PG-13,1,"$15,000,000","$128,955,898",2012,0,6
675,Paranormal Activity 4,Paramount Pictures,Horror,R,0,"$5,000,000","$142,817,992",2012,0,2
676,The Devil Inside,Paramount Pictures,Horror,R,0,"$1,000,000","$101,759,490",2012,0,2
677,The Grey,Open Road,Thriller/Suspense,R,0,"$25,000,000","$81,249,176",2012,0,6
678,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,PG-13,0,"$125,000,000","$535,663,443",2011,0,1
679,Red Tails,20th Century Fox,Action,PG-13,0,"$58,000,000","$50,365,498",2012,0,1
680,The Possession,Lionsgate,Horror,PG-13,0,"$14,000,000","$82,925,064",2012,0,2
681,Diary of a Wimpy Kid: Dog Days,20th Century Fox,Adventure,PG,0,"$22,000,000","$77,229,695",2012,0,4
682,Sinister,Lionsgate,Thriller/Suspense,R,0,"$3,000,000","$87,727,807",2012,0,6
683,Savages,Universal,Thriller/Suspense,R,0,"$45,000,000","$82,513,490",2012,1,6
684,The Girl with the Dragon Tattoo,Sony Pictures,Thriller/Suspense,R,1,"$90,000,000","$239,373,970",2011,0,6
685,Moonrise Kingdom,Focus Features,Drama,PG-13,0,"$16,000,000","$68,848,446",2012,1,5
686,The Three Stooges,20th Century Fox,Adventure,PG,0,"$30,000,000","$54,052,249",2012,1,4
687,Resident Evil: Retribution,Sony Pictures,Action,R,0,"$65,000,000","$240,647,629",2012,0,1
688,The Descendants,Fox Searchlight,Drama,R,0,"$20,000,000","$175,507,800",2011,1,5
689,The Cabin in the Woods,Lionsgate,Thriller/Suspense,R,0,"$30,000,000","$70,689,968",2012,0,6
690,What to Expect When You're Expecting,Lionsgate,Romantic Comedy,PG-13,0,"$37,500,000","$88,473,016",2012,1,8
691,The Artist,Weinstein Co.,Drama,PG-13,0,"$16,000,000","$128,256,712",2011,0,5
692,War Horse,Walt Disney,Drama,PG-13,1,"$70,000,000","$156,815,529",2011,0,5
693,Rock of Ages,Warner Bros.,Musical,PG-13,0,"$70,000,000","$61,031,932",2012,1,3
694,Abraham Lincoln: Vampire Hunter,20th Century Fox,Horror,R,0,"$67,500,000","$137,489,730",2012,0,2
695,Lawless,Weinstein Co.,Drama,R,0,"$26,000,000","$54,393,687",2012,0,5
696,That's My Boy,Sony Pictures,Comedy,R,0,"$57,500,000","$58,085,235",2012,1,0
697,Trouble with the Curve,Warner Bros.,Drama,PG-13,0,"$60,000,000","$47,818,913",2012,0,5
698,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,G,0,"$80,000,000","$349,088,523",2011,0,4
699,Step Up Revolution,Lionsgate,Drama,PG-13,0,"$33,000,000","$165,552,290",2012,0,5
700,The Watch,20th Century Fox,Comedy,R,0,"$55,000,000","$67,130,045",2012,0,0
701,House at the End of the Street,Relativity,Horror,PG-13,0,"$6,900,000","$44,103,982",2012,0,2
702,We Bought a Zoo,20th Century Fox,Drama,PG,0,"$50,000,000","$118,729,073",2011,0,5
703,Joyful Noise,Warner Bros.,Musical,PG-13,0,"$27,500,000","$31,157,914",2012,0,3
704,The Five-Year Engagement,Universal,Romantic Comedy,R,0,"$30,000,000","$61,623,819",2012,0,8
705,One for the Money,Lionsgate,Comedy,PG-13,1,"$42,000,000","$36,197,221",2012,0,0
706,The Adventures of Tintin,Paramount Pictures,Adventure,PG,0,"$130,000,000","$373,993,951",2011,0,4
707,Alex Cross,Lionsgate,Thriller/Suspense,PG-13,0,"$35,000,000","$35,426,759",2012,0,6
708,Katy Perry: Part of Me,Paramount Pictures,Concert/Performance,PG,0,"$12,000,000","$32,700,439",2012,1,11
709,Sparkle,Sony Pictures,Drama,PG-13,0,"$10,000,000","$24,660,323",2012,0,5
710,Hugo,Paramount Pictures,Adventure,PG,0,"$180,000,000","$180,047,784",2011,1,4
711,Premium Rush,Sony Pictures,Thriller/Suspense,PG-13,0,"$35,000,000","$31,393,201",2012,0,6
712,Tinker Tailor Soldier Spy,Focus Features,Thriller/Suspense,R,0,"$21,000,000","$81,452,811",2011,1,6
713,Big Miracle,Universal,Drama,PG,0,"$40,000,000","$25,268,680",2012,0,5
714,Man on a Ledge,Lionsgate,Thriller/Suspense,PG-13,0,"$42,000,000","$45,688,337",2012,0,6
715,A Thousand Words,Paramount Pictures,Comedy,PG-13,0,"$40,000,000","$20,790,486",2012,0,0
716,Chernobyl Diaries,Warner Bros.,Horror,R,0,"$1,000,000","$42,411,721",2012,0,2
717,Silent Hill: Revelation 3D,Open Road,Horror,R,0,"$20,000,000","$55,975,672",2012,0,2
718,Wanderlust,Universal,Comedy,R,0,"$32,500,000","$24,159,934",2012,0,0
719,Safe,Lionsgate,Action,R,0,"$33,000,000","$41,495,213",2012,0,1
720,To Rome with Love,Sony Pictures Classics,Romantic Comedy,R,0,"$21,500,000","$74,326,015",2012,1,8
721,The Raven,Relativity,Thriller/Suspense,R,0,"$26,000,000","$30,601,801",2012,0,6
722,The Man with the Iron Fists,Universal,Action,R,0,"$15,000,000","$22,018,988",2012,1,1
723,Seven Psychopaths,CBS Films,Comedy,R,0,"$13,500,000","$33,035,736",2012,1,0
724,Lockout,Open Road,Thriller/Suspense,PG-13,0,"$20,000,000","$33,943,049",2012,0,6
725,Hit & Run,Open Road,Comedy,R,0,"$22,000,000","$17,216,955",2012,0,0
726,Dredd,Lionsgate,Action,R,0,"$45,000,000","$41,467,606",2012,0,1
727,People Like Us,Walt Disney,Drama,PG-13,0,"$16,000,000","$12,617,472",2012,0,5
728,The Words,CBS Films,Drama,PG-13,0,"$6,000,000","$16,369,708",2012,1,5
729,Bernie,Alchemy,Black Comedy,PG-13,0,"$6,000,000","$10,106,975",2012,1,9
730,The Darkest Hour,Summit Entertainment,Action,PG-13,0,"$34,800,000","$62,831,715",2011,1,1
731,Seeking a Friend for the End of the World,Focus Features,Comedy,R,0,"$10,000,000","$11,766,959",2012,0,0
732,The Collection,LD Distribution,Horror,R,0,"$10,000,000","$8,890,094",2012,0,2
733,My Week with Marilyn,Weinstein Co.,Drama,R,0,"$10,000,000","$34,240,572",2011,1,5
734,The Apparition,Warner Bros.,Horror,PG-13,0,"$17,000,000","$10,637,281",2012,0,2
735,A Dangerous Method,Sony Pictures Classics,Drama,R,0,"$20,000,000","$14,807,531",2011,0,5
736,The Cold Light of Day,Lionsgate,Thriller/Suspense,PG-13,0,"$20,000,000","$25,361,206",2012,0,6
737,The Sitter,20th Century Fox,Comedy,R,0,"$25,000,000","$38,749,404",2011,1,0
738,Jab Tak Hai Jaan,Yash Raj Films,Drama,Not Rated,0,"$9,200,000","$5,806,666",2012,0,5
